Time, LQI, ManExist
1450315692,108,0
1450315692,108,0
1450315692,102,0
1450315692,111,0
1450315692,108,0
1450315692,108,0
1450315692,108,0
1450315693,105,0
1450315693,105,0
1450315693,105,0
1450315693,102,0
1450315693,102,0
1450315693,102,0
1450315693,105,0
1450315693,105,0
1450315693,105,0
1450315694,105,0
1450315694,108,0
1450315694,105,0
1450315694,105,0
1450315694,105,0
1450315694,105,0
1450315694,105,0
1450315694,105,0
1450315695,105,0
1450315695,108,0
1450315695,105,0
1450315695,105,0
1450315695,105,0
1450315695,105,0
1450315695,105,0
1450315695,105,0
1450315695,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315696,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315697,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315698,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315699,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315700,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315701,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315702,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315703,105,0
1450315704,105,0
1450315716,102,1
1450315716,102,1
1450315716,102,1
1450315716,99,1
1450315716,102,1
1450315716,96,1
1450315716,96,1
1450315717,99,1
1450315717,102,1
1450315717,99,1
1450315717,93,1
1450315717,87,1
1450315717,84,1
1450315717,84,1
1450315717,84,1
1450315717,78,1
1450315718,72,1
1450315718,72,1
1450315718,75,1
1450315718,78,1
1450315718,78,1
1450315718,84,1
1450315718,84,1
1450315718,78,1
1450315719,78,1
1450315719,72,1
1450315719,72,1
1450315719,78,1
1450315719,84,1
1450315719,84,1
1450315719,87,1
1450315719,84,1
1450315719,84,1
1450315720,84,1
1450315720,78,1
1450315720,78,1
1450315720,84,1
1450315720,75,1
1450315720,81,1
1450315720,78,1
1450315720,66,1
1450315720,51,1
1450315721,63,1
1450315721,69,1
1450315721,75,1
1450315721,84,1
1450315721,87,1
1450315721,87,1
1450315721,84,1
1450315722,84,1
1450315722,84,1
1450315722,84,1
1450315722,78,1
1450315722,66,1
1450315722,57,1
1450315722,84,1
1450315722,93,1
1450315723,102,1
1450315723,108,1
1450315723,105,1
1450315723,102,1
1450315723,99,1
1450315723,99,1
1450315723,99,1
1450315723,96,1
1450315724,87,1
1450315724,84,1
1450315724,84,1
1450315724,84,1
1450315724,78,1
1450315724,75,1
1450315724,75,1
1450315724,84,1
1450315724,84,1
1450315725,84,1
1450315725,84,1
1450315725,84,1
1450315725,75,1
1450315725,75,1
1450315726,63,1
1450315726,60,1
1450315726,60,1
1450315726,57,1
1450315726,51,1
1450315726,60,1
1450315726,57,1
1450315726,69,1
1450315727,84,1
1450315727,84,1
1450315727,84,1
1450315727,84,1
1450315727,93,1
1450315727,99,1
1450315727,102,1
1450315727,105,1
1450315727,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315728,108,1
1450315729,108,1
1450315729,108,1
1450315729,108,1
1450315729,102,1
1450315729,105,1
1450315729,99,1
1450315729,99,1
1450315729,93,1
1450315729,84,1
1450315730,84,1
1450315730,93,1
1450315730,99,1
1450315730,102,1
1450315730,102,1
1450315730,102,1
1450315730,102,1
1450315730,102,1
1450315731,99,1
1450315731,96,1
1450315731,99,1
1450315731,99,1
1450315731,99,1
1450315731,99,1
1450315731,99,1
1450315731,99,1
1450315731,102,1
1450315732,102,1
1450315732,99,1
1450315732,99,1
1450315732,99,1
1450315732,99,1
1450315732,99,1
1450315732,99,1
1450315732,99,1
1450315733,102,1
1450315733,102,1
1450315733,105,1
1450315733,102,1
1450315733,102,1
1450315733,105,1
1450315733,105,1
1450315733,108,1
1450315733,108,1
1450315734,108,1
1450315734,105,1
1450315734,102,1
1450315734,105,1
1450315734,102,1
1450315734,102,1
1450315734,102,1
1450315734,102,1
1450315734,105,1
1450315735,108,1
1450315735,108,1
1450315735,111,1
1450315735,111,1
1450315735,111,1
1450315735,111,1
1450315735,108,1
1450315735,105,1
1450315736,102,1
1450315736,102,1
1450315736,105,1
1450315736,111,1
1450315736,111,1
1450315736,111,1
1450315736,114,1
1450315736,111,1
1450315736,111,1
1450315737,111,1
1450315737,111,1
1450315737,99,1
1450315737,96,1
1450315737,90,1
1450315737,102,1
1450315737,111,1
1450315737,96,1
1450315738,102,1
1450315738,108,1
1450315738,108,1
1450315738,105,1
1450315738,111,1
1450315738,111,1
1450315738,78,1
1450315738,108,1
1450315738,108,1
1450315739,108,1
1450315739,117,1
1450315739,105,1
1450315739,57,1
1450315739,57,1
1450315739,63,1
1450315739,84,1
1450315739,96,1
1450315739,102,1
1450315740,102,1
1450315740,102,1
1450315740,102,1
1450315740,99,1
1450315740,93,1
1450315740,90,1
1450315740,93,1
1450315740,96,1
1450315741,99,1
1450315741,96,1
1450315741,96,1
1450315741,87,1
1450315741,90,1
1450315741,90,1
1450315741,84,1
1450315741,84,1
1450315741,81,1
1450315742,66,1
1450315742,60,1
1450315742,54,1
1450315742,96,1
1450315742,93,1
1450315742,87,1
1450315742,90,1
1450315742,84,1
1450315743,75,1
1450315743,69,1
1450315743,63,1
1450315743,66,1
1450315743,72,1
1450315743,84,1
1450315743,90,1
1450315743,96,1
1450315743,90,1
1450315744,93,1
1450315744,81,1
1450315744,66,1
1450315744,75,1
1450315744,84,1
1450315744,84,1
1450315744,93,1
1450315744,96,1
1450315745,99,1
1450315745,102,1
1450315745,84,1
1450315745,72,1
1450315745,60,1
1450315745,63,1
1450315745,63,1
1450315745,66,1
1450315745,66,1
1450315746,63,1
1450315746,66,1
1450315746,60,1
1450315746,63,1
1450315746,63,1
1450315746,63,1
1450315746,60,1
1450315746,57,1
1450315746,57,1
1450315747,57,1
1450315747,60,1
1450315747,63,1
1450315747,63,1
1450315747,60,1
1450315747,57,1
1450315747,63,1
1450315747,66,1
1450315748,69,1
1450315748,66,1
1450315748,84,1
1450315748,84,1
1450315748,93,1
1450315748,105,1
1450315748,111,1
1450315748,108,1
1450315748,102,1
1450315749,93,1
1450315749,93,1
1450315749,72,1
1450315749,75,1
1450315749,78,1
1450315749,78,1
1450315749,78,1
1450315749,84,1
1450315750,84,1
1450315750,84,1
1450315750,78,1
1450315750,84,1
1450315750,75,1
1450315750,72,1
1450315750,69,1
1450315750,48,1
1450315750,90,1
1450315751,96,1
1450315751,108,1
1450315751,114,1
1450315751,114,1
1450315751,114,1
1450315751,111,1
1450315751,111,1
1450315751,111,1
1450315752,111,1
1450315752,108,1
1450315752,108,1
1450315752,105,1
1450315752,102,1
1450315752,102,1
1450315752,99,1
1450315752,99,1
1450315752,99,1
1450315753,99,1
1450315753,99,1
1450315753,105,1
1450315753,102,1
1450315753,102,1
1450315753,105,1
1450315753,105,1
1450315753,108,1
1450315753,105,1
1450315754,108,1
1450315754,105,1
1450315754,105,1
